id,unit_name,army,category,troop_type,points,points_per_model,min_models,M,WS,BS,S,T,W,I,A,Ld,armour,shield,ward,regeneration,weapon,weapon_S,weapon_AP,weapon_rules,armour_bane,cleaving_blow,poisoned,requires_two_hands,fight_in_extra_rank,extra_attacks,horde,stubborn,unbreakable,unstable,indomitable,hatred,frenzy,named,mounts,special_rules
beastlord,Beastlord,Beastmen Brayherds,characters,Heavy Infantry,115,115,1,5,6,3,5,5,3,5,4,8,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Blood Rage, Brayhorn (General Only), Foe Render, Gaze of the Gods, Mark of Chaos Undivided, Primal Fury, Warband"
wargor,Wargor,Beastmen Brayherds,characters,Heavy Infantry,55,55,1,5,5,3,4,5,2,4,3,7,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Blood Rage, Brayhorn (General Only), Foe Render, Gaze of the Gods, Mark of Chaos Undivided, Primal Fury, Warband"
great-bray-shaman,Great Bray-Shaman,Beastmen Brayherds,characters,Regular Infantry,150,150,1,5,5,3,4,5,3,4,2,8,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Braystaff, Gaze of the Gods, Lore of Beasts, Mark of Chaos Undivided, Primal Fury, Warband"
bray-shaman,Bray-Shaman,Beastmen Brayherds,characters,Regular Infantry,65,65,1,5,4,3,3,4,2,3,1,7,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Braystaff, Gaze of the Gods, Lore of Beasts, Mark of Chaos Undivided, Primal Fury, Warband"
doombull,Doombull,Beastmen Brayherds,characters,Monstrous Infantry,210,210,1,6,6,3,6,5,5,5,5,8,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Armour Bane (1), Blood Greed, Blood Rage, Bull-gors, Fear, Foe Render, Gaze of the Gods, Impact Hits (1), Mark of Chaos Undivided, Primal Fury, Slaughterer's Call, Warband"
gorebull,Gorebull,Beastmen Brayherds,characters,Monstrous Infantry,130,130,1,6,5,3,5,5,4,4,4,7,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Armour Bane (1), Blood Greed, Blood Rage, Bull-gors, Fear, Foe Render, Gaze of the Gods, Impact Hits (1), Mark of Chaos Undivided, Primal Fury, Slaughterer's Call, Warband"
warhoof,Warhoof,Beastmen Brayherds,characters,Light Cavalry,75,75,1,8,5,3,5,4,3,3,4,7,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Drunken, Fast Cavalry, Gaze of the Gods, Mark of Chaos Undivided, Move Through Cover, Primal Fury, Stomp Attacks (1), Swiftstride, Warband"
kralmaw-the-prophet-of-ruin,Kralmaw,Beastmen Brayherds,characters,Regular Infantry,245,245,1,5,3,3,4,5,4,3,2,8,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,yes,,"Braystaff, Future Sight, Gaze of the Gods, Leering Spirit, Lore of Beasts, Mark of Chaos Undivided, Primal Fury, Warband"
ghorros-warhoof,Ghorros,Beastmen Brayherds,characters,Heavy Cavalry,155,155,1,8,5,3,5,4,3,4,4,8,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,yes,,"Drunken, Father of Beasts, Gaze of the Gods, Mark of Chaos Undivided, Move Through Cover, Primal Fury, Stomp Attacks (D3), Swiftstride, The Sons of Ghorros, Warband"
primal-warherd,Primal Warherd,Beastmen Brayherds,core,Regular Infantry,0,0,10,5,4,2,3,4,1,3,1,6,,,,,Hand Weapon,S,0,,,,,,,,yes,,,,,,,,,"Bestial Charge (Gors only), Blood Rage, Close Order, Horde, Impetuous, Mark of Chaos Undivided, Mixed Unit, Motley Crew, Move Through Cover, Primal Fury, Warband, Furious Charge (Gors only)"
bestigor-herd,Bestigor Herd,Beastmen Brayherds,core,Heavy Infantry,65,13,5,5,4,3,4,4,1,4,1,7,5,,,,Great Weapon,S+2,-2,"Armour Bane (1), Requires Two Hands, Strike Last",1,,,yes,,,,,,,,,,,,"Blood Rage, Close Order, Mark of Chaos Undivided, Primal Fury, Warband, Furious Charge"
gor-herd,Gor Herd,Beastmen Brayherds,core,Regular Infantry,35,7,5,5,4,2,3,4,1,3,1,6,,,,,Hand Weapon,S,0,,,,,,,,yes,,,,,,,,,"Bestial Charge, Blood Rage, Horde, Mark of Chaos Undivided, Move Through Cover, Open Order, Primal Fury, Skirmishers, Warband, Furious Charge"
ungor-herd,Ungor Herd,Beastmen Brayherds,core,Regular Infantry,50,5,10,5,3,3,3,3,1,3,1,5,,yes,,,Hand Weapon,S,0,,,,,,,,yes,,,,,,,,,"Chariot Runners, Horde, Mark of Chaos Undivided, Move Through Cover, Open Order, Primal Fury, Skirmishers, Warband"
chaos-warhounds,Chaos Warhounds,Beastmen Brayherds,core,War Beast,30,6,5,7,4,0,3,3,1,3,1,6,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Loner, Move Through Cover, Open Order, Swiftstride"
