unit_name,faction,shared_with,id,points,models,T,W,Sv,InSv,FNP,OC,move,keywords,model_groups,weapon_name,weapon_type,attacks,skill,S,AP,damage,weapon_models,abilities,notes
Accursed Cultists,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",23aa-b45a-6d5d-e92b,90,8,4,1,6,,,1,6.0,"CHAOS, INFANTRY",3x T4 W3 Sv6+ | 5x T4 W1 Sv6+,Hideous mutations,Melee,D6+2,4,5,-1,2,3,,
Accursed Cultists,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",23aa-b45a-6d5d-e92b,90,8,4,1,6,,,1,6.0,"CHAOS, INFANTRY",3x T4 W3 Sv6+ | 5x T4 W1 Sv6+,Blasphemous appendages,Melee,2,4,4,0,1,5,,
Be'lakor,Chaos - Chaos Daemons,,2c37-2898-8350-ef45,390,1,11,20,3,4,,5,12.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, FLY, MONSTER, PSYKER",,➤ Betraying Shades - witchfire,Ranged,9,2,5,-2,1,1,"Devastating Wounds, Ignores Cover",
Be'lakor,Chaos - Chaos Daemons,,2c37-2898-8350-ef45,390,1,11,20,3,4,,5,12.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, FLY, MONSTER, PSYKER",,➤ The Blade of Shadows - sweep,Melee,14,2,8,-3,1,1,Sustained Hits 1,
Beasts of Nurgle,Chaos - Chaos Daemons,,2de0-5897-f724-a592,80,1,9,7,6,5,,3,6.0,"BEAST, CHAOS, DAEMON",,Putrid appendages,Melee,6,4,6,-1,2,1,Devastating Wounds,
Bloodcrushers,Chaos - Chaos Daemons,,2f31-9132-b703-5fd8,95,3,7,4,3,5,,2,10.0,"CHAOS, DAEMON, MOUNTED",,Hellblade,Melee,2,3,5,-2,2,2,,
Bloodcrushers,Chaos - Chaos Daemons,,2f31-9132-b703-5fd8,95,3,7,4,3,5,,2,10.0,"CHAOS, DAEMON, MOUNTED",,Juggernaut's bladed horn,Melee,4,4,6,-1,1,2,Lance,
Bloodcrushers,Chaos - Chaos Daemons,,2f31-9132-b703-5fd8,95,3,7,4,3,5,,2,10.0,"CHAOS, DAEMON, MOUNTED",,Hellblade,Melee,2,3,5,-2,2,1,,
Bloodcrushers,Chaos - Chaos Daemons,,2f31-9132-b703-5fd8,95,3,7,4,3,5,,2,10.0,"CHAOS, DAEMON, MOUNTED",,Juggernaut's bladed horn,Melee,4,4,6,-1,1,1,Lance,
Bloodletters,Chaos - Chaos Daemons,,4ecc-6aa5-da28-2c57,110,10,4,1,7,5,,2,8.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Hellblade,Melee,2,3,5,-2,2,9,,
